Name,Team,Name,Age,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,AVG,OBP,SLG,wOBA,WAR,wRC+,NameASCII,PlayerId,MLBAMID
"Addison Barger","TOR","Addison Barger",25,81,279,302,75,23,1,14,44,47,21,73,0.268817204,0.322259136,0.508960573,0.35026557899083355,2.030727752797721,126.4337828853495,"Addison Barger",24598,680718
"Austin Hays","CIN","Austin Hays",29,55,206,228,58,9,4,10,38,40,18,55,0.281553398,0.337719298,0.509708737,0.35833104407734806,1.2392305808066473,126.1576240352323,"Austin Hays",19363,669720
"Geraldo Perdomo","ARI","Geraldo Perdomo",25,104,381,460,106,22,2,10,56,72,61,51,0.278215223,0.378555798,0.42519685,0.35259061803963826,3.848524148355363,126.1210957144778,"Geraldo Perdomo",22799,672695
"Rob Refsnyder","BOS","Rob Refsnyder",34,47,121,141,32,8,0,6,20,18,17,37,0.264462809,0.354609929,0.479338842,0.3564954480954579,0.6608402806046711,125.92553795657092,"Rob Refsnyder",13770,608701
"Yandy Díaz","TBR","Yandy Díaz",33,99,398,440,114,19,1,18,51,61,34,61,0.28643216,0.345454545,0.474874371,0.351104744239039,1.6045518057889823,125.52589525335587,"Yandy Diaz",16578,650490
"Spencer Torkelson","DET","Spencer Torkelson",25,100,359,419,85,23,0,23,59,61,46,101,0.236768802,0.334128878,0.493036211,0.35004879555840424,1.894709809168735,125.42994165859675,"Spencer Torkelson",27465,679529
"Matt Chapman","SFG","Matt Chapman",32,81,291,340,70,14,1,14,47,38,45,82,0.240549828,0.35,0.439862542,0.3465304143288556,2.6865678524057826,125.34728492792533,"Matt Chapman",16505,656305
"Gunnar Henderson","BAL","Gunnar Henderson",24,97,366,406,103,24,4,11,53,38,36,93,0.281420765,0.349753694,0.459016393,0.34717472883599315,3.123761975355386,125.14522317200556,"Gunnar Henderson",26289,683002
"Andy Pages","LAD","Andy Pages",24,99,372,400,107,16,1,19,48,64,17,82,0.287634408,0.325,0.489247311,0.3476647874712944,3.0660936285934124,124.24025146729336,"Andy Pages",24816,681624
"Sean Murphy","ATL","Sean Murphy",30,68,219,252,51,10,0,16,28,40,23,77,0.232876712,0.321428571,0.497716894,0.3483933982146214,2.3360622071654618,123.75932008655535,"Sean Murphy",19352,669221
"Miguel Amaya","CHC","Miguel Amaya",26,26,90,97,25,8,0,4,14,24,4,21,0.277777777,0.3125,0.5,0.3450466822832823,0.7949981278672477,123.72988900783626,"Miguel Amaya",21693,665804
"Starling Marte","NYM","Starling Marte",36,60,170,196,48,10,0,4,23,20,15,34,0.282352941,0.364102564,0.411764705,0.34267458915710447,0.6533950296629846,123.61372369248791,"Starling Marte",9241,516782
"Davis Schneider","TOR","Davis Schneider",26,40,86,106,18,3,0,5,16,12,18,30,0.209302325,0.358490566,0.418604651,0.345834382300107,0.5098053400739095,123.38106801776618,"Davis Schneider",23565,676914
"Roman Anthony","BOS","Roman Anthony",21,39,132,157,35,13,0,2,20,15,22,41,0.265151515,0.382165605,0.409090909,0.3527247681739224,1.12428075509022,123.3278625517624,"Roman Anthony",31812,701350
"Jeff McNeil","NYM","Jeff McNeil",33,69,214,253,53,8,4,9,22,32,30,27,0.247663551,0.349206349,0.44859813,0.3422041683790674,1.5302504435990811,123.2914901187439,"Jeff McNeil",15362,643446
"Gleyber Torres","DET","Gleyber Torres",28,93,333,396,91,17,0,9,52,45,54,52,0.273273273,0.376262626,0.405405405,0.3464799731066733,2.1193543761517506,122.97132875590977,"Gleyber Torres",16997,650402
"Mickey Moniak","COL","Mickey Moniak",27,87,260,281,71,11,6,16,40,40,18,68,0.273076923,0.323843416,0.546153846,0.36645621359348296,0.8003153628157808,122.95104309799211,"Mickey Moniak",19956,666160
"Isaac Collins","MIL","Isaac Collins",27,84,224,263,61,10,1,6,37,28,33,60,0.272321428,0.371647509,0.40625,0.345365843782023,1.605835544293937,122.91092930773632,"Isaac Collins",25477,686555
